ID,TITLE,MEDIUM,FORMAT,ORIGINAL,SOURCE,NOTES
1001,A Dame with a Dog,"Tempera and Ink, watercolor",Original 11x14,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1001.jpg,
1002,A Game of Chess,Tempera and Ink wash,Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1002.jpg ,
1003,A Man with a Cat,Tempera and Ink wash,Print 10x10,,https://irina-assets.s3-us-west-1.amazonaws.com/1003.jpg ,
1004,A Trip Abroad,"Tempera and Ink, watercolor","Original, print",TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1004.jpg ,
1005,A Woman in Red Stripes,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1005.jpg ,
1006,Ananas Lady,Tempera and Ink wash,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1006.jpg ,
1007,Army,Tempera and Ink wash,Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1007.jpg ,
1008,Ballerina,Tempera and Ink wash,Original,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1008.jpg ,
1009,Barcelona,"Tempera and Ink wash, Watercolor pencils",Original 11x14 ,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1009.jpg ,
1010,Biker,Watercolor pencils,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1010.jpg ,
1011,Blue Beard and his 10th Wife,"Tempera and Ink, watercolor",Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1011.jpg ,
1012,Blue City,"Tempera and Ink, watercolor",Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1012.jpg ,
1013,Brandenburg,"Tempera and Ink, watercolor",Original,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1013.jpg ,
1014,Building 38,Tempera and Ink wash,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1014.jpg ,
1016,Butterfly,"Watercolor, Ink",Original 6x4,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1016.jpg ,
1017,Colorado,Tempera and Ink wash,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1017.jpg ,
1018,Couple,Tempera and Ink wash,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1018.jpg ,
1019,Eve,"Tempera and Ink wash, Watercolor pencils",Original 11x14 ,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1019.jpg ,
1020,Zhenya and Ira Dancing,"Watercolor pencils, Ink",Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1020.jpg ,
1021,Yellow Lady,Watercolor pencils,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1021.jpg ,
1022,Yellow Bird,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1022.png ,
1023,King Cat,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1023.jpg ,
1024,Five O'Clock Tea,Tempera and Ink wash,Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1024.jpg ,
1025,A Few of my Favorite Things,Watercolor,Original,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1025.jpg ,
1027,Duet,Tempera and Ink wash,Original 11x14,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1027.jpg ,
1028,Dog,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1028.png,
1029,Dancer in Blue,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1029.jpg ,
1030,Women of Power,"Tempera and Ink wash, watercolor",Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1030.jpg ,
1031,Fairies with Newborn Boy,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1031.jpg ,
1032,Winter,Watercolor,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1032.jpg ,
1033,When in Paris,"Tempera and Ink wash, watercolor",Original 11x14,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1033.jpg ,
1034,Wedding,Tempera and Ink wash,Print 11x14,,https://irina-assets.s3-us-west-1.amazonaws.com/1034.jpg ,
1035,Gypsy,Watercolor,Original 11x14,TRUE,https://irina-assets.s3-us-west-1.amazonaws.com/1035.jpg ,
1036,Upside Down,Watercolor,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1036.jpg ,
1037,Two Faces,Charcoal ,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1037.jpg ,
1038,Tooth Fairy,Watercolor,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1038.jpg ,
1039,Waiter,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1039.jpg ,
1040,Flamingo,Digital,Print,,https://irina-assets.s3-us-west-1.amazonaws.com/1040.png ,
