ID,PRICE_CODE,PRODUCT_NAME,TITLE,MEDIUM,IMAGE_SIZE,MATTED_SIZE,EXT,ORIGINAL_AVAILABLE,AVAILABLE
1001,price_1HWQo4ArX6pWnJoFuYQaruuw,1001::A Dame with a Dog,A Dame with a Dog,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,TRUE,TRUE
1002,price_1HWQo4ArX6pWnJoF82hSm5BY,1002::A Game of Chess,A Game of Chess,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,FALSE,TRUE
1003,price_1HWQo4ArX6pWnJoF4mTuirgy,1003::A Man with a Cat,A Man with a Cat,Tempera and ink wash,"10"" x 10""","16"" x 20""",jpg,FALSE,TRUE
1004,price_1HWQo4ArX6pWnJoFOmUzY7Ku,1004::A Trip Abroad,A Trip Abroad,Tempera and ink wash,,"16"" x 20""",jpg,TRUE,TRUE
1005,price_1HWQo4ArX6pWnJoF79Cinxm9,1005::A Woman in Red Stripes,A Woman in Red Stripes,Digital,,"16"" x 20""",jpg,FALSE,TRUE
1006,price_1HWQo4ArX6pWnJoFKMXkTECG,1006::Ananas Lady,Ananas Lady,Tempera and ink wash,,"16"" x 20""",jpg,FALSE,TRUE
1007,price_1HWQo4ArX6pWnJoFUKAdJ6mz,1007::Army,Army,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,FALSE,TRUE
1008,price_1HWQo4ArX6pWnJoFnfqYMsLW,1008::Ballerina,Ballerina,Tempera and ink wash,,"16"" x 20""",jpg,TRUE,TRUE
1009,price_1HWQo4ArX6pWnJoFUSWIg861,1009::Barcelona,Barcelona,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,TRUE,TRUE
1010,price_1HWQo4ArX6pWnJoFQ8V03vtX,1010::Biker,Biker,Watercolor,,"16"" x 20""",jpg,FALSE,TRUE
1011,price_1HWQo4ArX6pWnJoFt7q149iK,1011::Blue Beard and his 10th Wife,Blue Beard and his 10th Wife,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,FALSE,TRUE
1012,price_1HWQo4ArX6pWnJoFzm59uYxy,1012::Blue City,Blue City,Tempera and ink wash,"11"" x 14""","16"" x 20""",jpg,FALSE,TRUE
1013,price_1HWQo4ArX6pWnJoFOBd0iJA8,1013::Brandenburg,Brandenburg,Tempera and ink wash,,"16"" x 20""",jpg,TRUE,TRUE
1014,price_1HWQo4ArX6pWnJoFocfLul7L,1014::Building 38,Building 38,Tempera and ink wash,,"16"" x 20""",jpg,FALSE,TRUE
